Response,Breakdown,Demo,Value
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Audience(000),Totals,8358.318
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Audience(000),Have Personally Used Cannabis for Medical OR Recreational Purposes,2949.628
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Audience(000),Non User ~ When Last Consumed Cannabis - Personally,5408.691
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),184.355
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),445.87
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),934.772
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),1770.326
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Audience(000),(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),697.172
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Audience(000),(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),1311.807
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1070.537
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),1737.499
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Audience(000),(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),62.792
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Audience(000),(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),143.19
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Resps,Totals,12002
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Resps,Have Personally Used Cannabis for Medical OR Recreational Purposes,4335
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Resps,Non User ~ When Last Consumed Cannabis - Personally,7667
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),473
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),855
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Resps,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1803
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Resps,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),3318
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Resps,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),949
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Resps,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),1743
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),995
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),1539
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Resps,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),115
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Resps,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),212
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Col,Totals,26.391
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Col,Have Personally Used Cannabis for Medical OR Recreational Purposes,36.83
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Col,Non User ~ When Last Consumed Cannabis - Personally,26.219
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),37.888
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),22.984
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Col,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),37.256
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Col,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),24.12
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Col,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),38.086
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Col,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),28.4
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),36.198
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),27.733
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Col,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),27.876
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Col,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),30.759
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Row,Totals,100
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Row,Have Personally Used Cannabis for Medical OR Recreational Purposes,35.29
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Row,Non User ~ When Last Consumed Cannabis - Personally,64.71
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),2.206
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),5.334
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Row,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),11.184
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Row,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),21.18
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Row,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),8.341
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Row,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),15.695
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),12.808
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),20.788
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Row,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),0.751
Disagree ~ Media advertising will influence non-consumers to try cannabis. , %Row,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),1.713
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Index,Totals,100
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Index,Have Personally Used Cannabis for Medical OR Recreational Purposes,140
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Index,Non User ~ When Last Consumed Cannabis - Personally,99
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),144
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),87
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Index,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),141
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Index,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),91
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Index,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),144
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Index,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),108
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),137
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),105
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Index,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),106
Disagree ~ Media advertising will influence non-consumers to try cannabis. , Index,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),117
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),Totals,12528.139
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),Have Personally Used Cannabis for Medical OR Recreational Purposes,3607.692
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),Non User ~ When Last Consumed Cannabis - Personally,8920.447
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),244.044
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),937.018
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1097.306
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),3322.424
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),802.765
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),1939.799
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1362.08
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),2546.222
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),101.497
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),174.984
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,Totals,18133
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,Have Personally Used Cannabis for Medical OR Recreational Purposes,5087
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,Non User ~ When Last Consumed Cannabis - Personally,13046
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),565
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),1804
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),2086
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),6125
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1074
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),2550
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1217
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),2296
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),145
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),271
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,Totals,39.557
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,Have Personally Used Cannabis for Medical OR Recreational Purposes,45.046
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,Non User ~ When Last Consumed Cannabis - Personally,43.242
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),50.155
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),48.302
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),43.734
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),45.268
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),43.854
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),41.996
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),46.056
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),40.641
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),45.058
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),37.589
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,Totals,100
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,Have Personally Used Cannabis for Medical OR Recreational Purposes,28.797
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,Non User ~ When Last Consumed Cannabis - Personally,71.203
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1.948
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),7.479
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),8.759
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),26.52
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),6.408
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),15.484
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),10.872
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),20.324
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),0.81
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),1.397
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Index,Totals,100
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Index,Have Personally Used Cannabis for Medical OR Recreational Purposes,114
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Index,Non User ~ When Last Consumed Cannabis - Personally,109
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),127
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),122
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Index,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),111
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Index,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),114
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Index,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),111
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Index,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),106
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),116
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),103
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Index,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),114
Agree ~ Media advertising will promote cannabis brands but not necessarily the quality. , Index,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),95
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),Totals,9939.031
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),Have Personally Used Cannabis for Medical OR Recreational Purposes,2924.987
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),Non User ~ When Last Consumed Cannabis - Personally,7014.044
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),154.248
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),565.598
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),877.412
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),2398.675
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),734.075
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),1706.366
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1083.172
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),2184.868
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),76.079
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Audience(000),(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),158.537
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,Totals,14359
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,Have Personally Used Cannabis for Medical OR Recreational Purposes,4229
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,Non User ~ When Last Consumed Cannabis - Personally,10130
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),336
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),1065
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1852
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),4444
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),986
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),2358
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),943
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),2017
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),112
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , Resps,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),246
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,Totals,31.382
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,Have Personally Used Cannabis for Medical OR Recreational Purposes,36.522
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,Non User ~ When Last Consumed Cannabis - Personally,34.001
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),31.701
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),29.156
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),34.97
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),32.682
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),40.101
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),36.942
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),36.625
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),34.874
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),33.774
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Col,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),34.055
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,Totals,100
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,Have Personally Used Cannabis for Medical OR Recreational Purposes,29.429
Neutral ~ Media advertising will promote cannabis brands but not necessarily the quality. , %Row,Non User ~ When Last Consumed Cannabis - Personally,70.571
